time,x,y,z,rel_vel_mag,alpha_deg,alpha_geom_deg,cl,cd,cm
55.25,0.0246538433123,-28.6600746789,-14.8076060696,38.3274791853,12.5239513575,16.9415917578,1.0670800682,0.0818191085348,1.54566516283e-301
55.3,0.0246538433123,-27.6654262872,-16.5918433712,38.3252495364,12.528050012,16.9415917578,1.06699731288,0.0818245700221,1.54566516283e-301
55.35,0.0246538433123,-26.5598458843,-18.3095511881,38.3225319279,12.5313154271,16.9415917578,1.06675707187,0.0818282786463,1.54566516283e-301
55.4,0.0246538433123,-25.3477665939,-19.9538419061,38.3189582363,12.5374085386,16.9415917578,1.06660638868,0.0818471891115,1.54566516283e-301
55.45,0.0246538433123,-24.0340485757,-21.5181222966,38.3140014287,12.543305597,16.9415917578,1.06648175481,0.0818606277289,1.54566516283e-301
55.5,0.0246538433123,-22.6239595376,-22.9961199543,38.307749238,12.5511436141,16.9415917578,1.0664556529,0.0818786642692,1.54566516283e-301
55.55,0.0246538433123,-21.123153613,-24.3819084477,38.3003273955,12.5600151289,16.9415917578,1.06648636588,0.0818955189531,1.54566516283e-301
55.6,0.0246538433123,-19.5376486894,-25.6699310829,38.29152797,12.5700366395,16.9415917578,1.06658599308,0.0819128580183,1.54566516283e-301
55.65,0.0246538433123,-17.8738022777,-26.8550231846,38.2812920556,12.5819290142,16.9415917578,1.06681355273,0.0819322932459,1.54566516283e-301
55.7,0.0246538433123,-16.1382860202,-27.9324328056,38.2699200021,12.5956384185,16.9415917578,1.06718516889,0.0819625038732,1.54566516283e-301
55.75,0.0246538433123,-14.3380589388,-28.8978397805,38.2566669329,12.6092955554,16.9415917578,1.06757197315,0.0819923595399,1.54566516283e-301
55.8,0.0246538433123,-12.4803395311,-29.7473730487,38.2423776798,12.624599113,16.9415917578,1.06802638,0.0820271192583,1.54566516283e-301
55.85,0.0246538433123,-10.5725768257,-30.4776261768,38.2269655882,12.6416914157,16.9415917578,1.06859397685,0.08205699152,1.54566516283e-301
55.9,0.0246538433123,-8.62242051314,-31.0856710174,38.2101092221,12.6598274078,16.9415917578,1.06924950987,0.0820883252044,1.54566516283e-301
55.95,0.0246538433123,-6.63769027285,-31.5690694502,38.1920835716,12.6775599422,16.9415917578,1.06984877582,0.0821209430238,1.54566516283e-301
56,0.0246538433123,-4.62634441765,-31.9258831583,38.173279936,12.6968798992,16.9415917578,1.07054007427,0.0821666306289,1.54566516283e-301
56.05,0.0246538433123,-2.59644798291,-32.1546814007,38.1542833863,12.7181040655,16.9415917578,1.07152571681,0.0822110155465,1.54566516283e-301
56.1,0.0246538433123,-0.55614038753,-32.2545467489,38.1339398278,12.7339669522,16.9415917578,1.07209493088,0.0822361550074,1.54566516283e-301
56.15,0.0246538433123,1.48639720319,-32.2250787658,38.1148872064,12.756455579,16.9415917578,1.07317931474,0.0822789377099,1.54566516283e-301
56.2,0.0246538433123,3.52297468219,-32.0663956113,38.0961767266,12.7782776075,16.9415917578,1.07408204136,0.0823275145102,1.54566516283e-301
56.25,0.0246538433123,5.5454258411,-31.7791335683,38.0779784318,12.7984599485,16.9415917578,1.07493520581,0.0823673020303,1.54566516283e-301
56.3,0.0246538433123,7.54564111484,-31.3644444918,38.0607298597,12.8184169343,16.9415917578,1.07582234652,0.0824033996682,1.54566516283e-301
56.35,0.0246538433123,9.51560009914,-30.8239911897,38.0447236697,12.8378145115,16.9415917578,1.07669349375,0.0824435229753,1.54566516283e-301
56.4,0.0246538433123,11.4474037105,-30.1599407559,38.0299657522,12.8567612649,16.9415917578,1.07749463375,0.0824844108264,1.54566516283e-301
56.45,0.0246538433123,13.3333058597,-29.3749558802,38.0165613034,12.8750319605,16.9415917578,1.07827968803,0.0825248515816,1.54566516283e-301
